,Areaname,Land Area (sq. mi)
13123,"Gilmer, GA",426.54
13125,"Glascock, GA",143.74
13127,"Glynn, GA",419.75
13129,"Gordon, GA",355.81
13131,"Grady, GA",454.53
13133,"Greene, GA",387.44
13135,"Gwinnett, GA",430.38
13137,"Habersham, GA",276.74
13139,"Hall, GA",392.78
13141,"Hancock, GA",471.84
13143,"Haralson, GA",282.17
13145,"Harris, GA",463.87
13147,"Hart, GA",232.39
13149,"Heard, GA",296.03
13151,"Henry, GA",322.13
13153,"Houston, GA",375.54
13155,"Irwin, GA",354.34
13157,"Jackson, GA",339.66
13159,"Jasper, GA",368.17
13161,"Jeff Davis, GA",330.74
13163,"Jefferson, GA",526.49
13165,"Jenkins, GA",347.28
13167,"Johnson, GA",303.01
13169,"Jones, GA",393.93
13171,"Lamar, GA",183.5
13173,"Lanier, GA",185.26
13175,"Laurens, GA",807.3
13177,"Lee, GA",355.78
13179,"Liberty, GA",489.8
13181,"Lincoln, GA",210.38
13183,"Long, GA",400.29
13185,"Lowndes, GA",496.07
13187,"Lumpkin, GA",282.93
13189,"McDuffie, GA",257.46
13191,"McIntosh, GA",424.3
13193,"Macon, GA",400.64
13195,"Madison, GA",282.31
13197,"Marion, GA",366.0
13199,"Meriwether, GA",501.22
13201,"Miller, GA",282.42
13205,"Mitchell, GA",512.09
13207,"Monroe, GA",395.66
13209,"Montgomery, GA",239.52
13211,"Morgan, GA",347.35
13213,"Murray, GA",344.47
13215,"Muscogee, GA",216.39
13217,"Newton, GA",272.16
13219,"Oconee, GA",184.29
13221,"Oglethorpe, GA",439.01
13223,"Paulding, GA",312.22
13225,"Peach, GA",150.27
13227,"Pickens, GA",232.06
13229,"Pierce, GA",316.49
13231,"Pike, GA",216.09
13233,"Polk, GA",310.33
13235,"Pulaski, GA",249.03
13237,"Putnam, GA",344.64
13239,"Quitman, GA",151.24
13241,"Rabun, GA",369.99
13243,"Randolph, GA",428.24
13245,"Richmond, GA",324.33
13247,"Rockdale, GA",129.79
13249,"Schley, GA",166.91
13251,"Screven, GA",645.1
13253,"Seminole, GA",235.23
13255,"Spalding, GA",196.47
13257,"Stephens, GA",179.13
13259,"Stewart, GA",458.73
13261,"Sumter, GA",482.7
13263,"Talbot, GA",391.39
13265,"Taliaferro, GA",194.61
13267,"Tattnall, GA",479.4
13269,"Taylor, GA",376.69
13271,"Telfair, GA",437.3
13273,"Terrell, GA",335.44
13275,"Thomas, GA",544.6
13277,"Tift, GA",258.92
13279,"Toombs, GA",364.01
13281,"Towns, GA",166.56
13283,"Treutlen, GA",199.44
13285,"Troup, GA",413.99
13287,"Turner, GA",285.39
13289,"Twiggs, GA",358.4
13291,"Union, GA",321.93
13293,"Upson, GA",323.44
13295,"Walker, GA",446.38
13297,"Walton, GA",325.68
13299,"Ware, GA",892.46
13301,"Warren, GA",284.3
13303,"Washington, GA",678.45
13305,"Wayne, GA",641.78
13307,"Webster, GA",209.12
13309,"Wheeler, GA",295.48
13311,"White, GA",240.69
13313,"Whitfield, GA",290.46
13315,"Wilcox, GA",377.71
13317,"Wilkes, GA",469.49
13319,"Wilkinson, GA",447.31
13321,"Worth, GA",570.7
15001,"Hawaii, HI",4028.42
