countyFIPS,state_name,county_name,votes_gop,votes_dem,total_votes,diff,per_gop,per_dem,per_point_diff,Biden_or_Trump
01039,Alabama,Covington County,14579,2717,17418,11862,0.8370076931909519,0.15598805833046275,0.6810196348604891,0
01041,Alabama,Crenshaw County,4864,1700,6617,3164,0.7350763185733716,0.2569140093698051,0.4781623092035666,0
01043,Alabama,Cullman County,36804,4454,41751,32350,0.8815118200761658,0.10668007951905344,0.7748317405571123,0
01045,Alabama,Dale County,14281,5154,19699,9127,0.7249606579014163,0.2616376465810447,0.4633230113203716,0
01047,Alabama,Dallas County,5523,12228,17861,-6705,0.3092212082190247,0.6846201220536364,-0.3753989138346117,1
01049,Alabama,DeKalb County,24744,4271,29322,20473,0.8438714958051975,0.14565854989427734,0.6982129459109201,0
01051,Alabama,Elmore County,30089,10304,40891,19785,0.7358342911643149,0.2519869898021569,0.4838473013621579,0
01053,Alabama,Escambia County,10844,4894,15861,5950,0.6836895529916146,0.3085555765714646,0.37513397642015,0
01055,Alabama,Etowah County,35343,11487,47460,23856,0.7446902654867257,0.2420353982300885,0.5026548672566372,0
01057,Alabama,Fayette County,7295,1390,8756,5905,0.8331429876656007,0.1587482868889904,0.6743947007766102,0
01059,Alabama,Franklin County,10364,2085,12564,8279,0.82489652976759,0.16595033428844316,0.6589461954791468,0
01061,Alabama,Geneva County,10844,1592,12538,9252,0.8648907321741904,0.12697399904290954,0.7379167331312809,0
01063,Alabama,Greene County,875,3880,4771,-3005,0.1833997065604695,0.8132466988052819,-0.6298469922448124,1
01065,Alabama,Hale County,3190,4687,7922,-1497,0.40267609189598585,0.5916435243625348,-0.1889674324665489,1
01067,Alabama,Henry County,6593,2589,9266,4004,0.7115260090654004,0.2794085905460825,0.432117418519318,0
01069,Alabama,Houston County,32384,12738,45750,19646,0.7078469945355191,0.27842622950819673,0.4294207650273224,0
01071,Alabama,Jackson County,19644,3709,23602,15935,0.8323023472587069,0.1571476993475129,0.675154647911194,0
