countyFIPS,County Name,State,COVID Cases,COVID Deaths,Population,COVID Cases per 100k,COVID Deaths per 100k
01121,Talladega County,AL,2808,38,79978,3510.97,47.51
01123,Tallapoosa County,AL,1403,87,40367,3475.61,215.52
01125,Tuscaloosa County,AL,10792,145,209355,5154.88,69.26
01127,Walker County,AL,2966,95,63521,4669.32,149.56
01129,Washington County,AL,774,12,16326,4740.9,73.5
01131,Wilcox County,AL,576,12,10373,5552.88,115.68
01133,Winston County,AL,981,13,23629,4151.68,55.02
02013,Aleutians East Borough,AK,6,0,3337,179.8,0.0
02016,Aleutians West Census Area,AK,8,0,5634,142.0,0.0
02020,Municipality of Anchorage,AK,8313,50,288000,2886.46,17.36
02050,Bethel Census Area,AK,480,1,18386,2610.68,5.44
02060,Bristol Bay Borough,AK,0,0,836,0.0,0.0
02068,Denali Borough,AK,27,0,2097,1287.55,0.0
02070,Dillingham Census Area,AK,38,0,4916,772.99,0.0
02090,Fairbanks North Star Borough,AK,2226,16,96849,2298.42,16.52
02100,Haines Borough,AK,7,0,2530,276.68,0.0
02105,Hoonah-Angoon Census Area,AK,31,0,2148,1443.2,0.0
02110,City and Borough of Juneau,AK,498,3,31974,1557.52,9.38
02122,Kenai Peninsula Borough,AK,941,4,58708,1602.85,6.81
02130,Ketchikan Gateway Borough,AK,69,0,13901,496.37,0.0
02150,Kodiak Island Borough,AK,80,0,12998,615.48,0.0
02158,Kusilvak Census Area,AK,250,0,8314,3006.98,0.0
02164,Lake and Peninsula Borough,AK,46,0,1592,2889.45,0.0
02170,Matanuska-Susitna Borough,AK,1494,3,108317,1379.28,2.77
02180,Nome Census Area,AK,134,0,10004,1339.46,0.0
02185,North Slope Borough,AK,264,0,9832,2685.11,0.0
02188,Northwest Arctic Borough,AK,247,0,7621,3241.04,0.0
02195,Petersburg Census Area,AK,15,1,3266,459.28,30.62
02198,Prince of Wales-Hyder Census Area,AK,34,1,6203,548.12,16.12
02220,Sitka City and Borough,AK,66,0,8493,777.11,0.0
02230,Skagway Municipality,AK,7,0,1183,591.72,0.0
02240,Southeast Fairbanks Census Area,AK,76,1,6893,1102.57,14.51
02261,Valdez-Cordova Census Area,AK,127,1,9202,1380.13,10.87
02270,Wade Hampton Census Area,AK,0,0,0,0.0,0.0
02275,Wrangell City and Borough,AK,13,0,2502,519.58,0.0
02282,Yakutat City and Borough,AK,0,0,579,0.0,0.0
02290,Yukon-Koyukuk Census Area,AK,118,2,5230,2256.21,38.24
04001,Apache County,AZ,4003,171,71887,5568.46,237.87
04003,Cochise County,AZ,2205,75,125922,1751.08,59.56
04005,Coconino County,AZ,5405,149,143476,3767.18,103.85
04007,Gila County,AZ,1989,72,54018,3682.11,133.29
04009,Graham County,AZ,1281,29,38837,3298.4,74.67
04011,Greenlee County,AZ,104,2,9498,1094.97,21.06
04012,La Paz County,AZ,628,17,21108,2975.18,80.54
04013,Maricopa County,AZ,159781,3608,4485414,3562.24,80.44
04015,Mohave County,AZ,4453,233,212181,2098.68,109.81
04017,Navajo County,AZ,6538,241,110924,5894.13,217.27
04019,Pima County,AZ,28824,642,1047279,2752.28,61.3
04021,Pinal County,AZ,12174,228,462789,2630.57,49.27
04023,Santa Cruz County,AZ,3065,65,46498,6591.68,139.79
04025,Yavapai County,AZ,3029,91,235099,1288.39,38.71
04027,Yuma County,AZ,13994,358,213787,6545.77,167.46
05001,Arkansas County,AR,726,17,17486,4151.89,97.22
05003,Ashley County,AR,573,11,19657,2914.99,55.96
05005,Baxter County,AR,776,11,41932,1850.62,26.23
05007,Benton County,AR,8619,125,279141,3087.69,44.78
05009,Boone County,AR,1099,36,37432,2935.99,96.17
05011,Bradley County,AR,373,8,10763,3465.58,74.33
05013,Calhoun County,AR,59,0,5189,1137.02,0.0
05015,Carroll County,AR,1049,19,28380,3696.26,66.95
05017,Chicot County,AR,1056,23,10118,10436.85,227.32
05019,Clark County,AR,530,5,22320,2374.55,22.4
05021,Clay County,AR,517,13,14551,3553.02,89.34
05023,Cleburne County,AR,500,16,24919,2006.5,64.21
05025,Cleveland County,AR,257,13,7956,3230.27,163.4
05027,Columbia County,AR,757,21,23457,3227.18,89.53
05029,Conway County,AR,360,4,20846,1726.95,19.19
05031,Craighead County,AR,4938,48,110332,4475.58,43.51
05033,Crawford County,AR,2189,30,63257,3460.49,47.43
05035,Crittenden County,AR,2532,53,47955,5279.95,110.52
05037,Cross County,AR,616,22,16419,3751.75,133.99
05039,Dallas County,AR,188,6,7009,2682.27,85.6
05041,Desha County,AR,431,7,11361,3793.68,61.61
05043,Drew County,AR,440,7,18219,2415.06,38.42
05045,Faulkner County,AR,3543,39,126007,2811.75,30.95
05047,Franklin County,AR,575,2,17715,3245.84,11.29
05049,Fulton County,AR,348,10,12477,2789.13,80.15
05051,Garland County,AR,2645,70,99386,2661.34,70.43
05053,Grant County,AR,382,4,18265,2091.43,21.9
05055,Greene County,AR,1666,20,45325,3675.68,44.13
05057,Hempstead County,AR,593,5,21532,2754.04,23.22
05059,Hot Spring County,AR,2297,37,33771,6801.69,109.56
05061,Howard County,AR,625,14,13202,4734.13,106.04
05063,Independence County,AR,1528,58,37825,4039.66,153.34
05065,Izard County,AR,673,2,13629,4938.0,14.67
05067,Jackson County,AR,907,6,16719,5424.97,35.89
05069,Jefferson County,AR,4302,102,66824,6437.81,152.64
05071,Johnson County,AR,1063,8,26578,3999.55,30.1
05073,Lafayette County,AR,201,3,6624,3034.42,45.29
05075,Lawrence County,AR,884,21,16406,5388.27,128.0
05077,Lee County,AR,1113,18,8857,12566.33,203.23
05079,Lincoln County,AR,2337,18,13024,17943.8,138.21
05081,Little River County,AR,489,37,12259,3988.91,301.82
05083,Logan County,AR,615,5,21466,2865.0,23.29
05085,Lonoke County,AR,1877,33,73309,2560.4,45.01
05087,Madison County,AR,444,6,16576,2678.57,36.2
05089,Marion County,AR,180,2,16694,1078.23,11.98
05091,Miller County,AR,1613,21,43257,3728.88,48.55
05093,Mississippi County,AR,2412,69,40651,5933.43,169.74
05095,Monroe County,AR,230,2,6701,3432.32,29.85
05097,Montgomery County,AR,188,8,8986,2092.14,89.03
05099,Nevada County,AR,335,14,8252,4059.62,169.66
05101,Newton County,AR,324,20,7753,4179.03,257.96
05103,Ouachita County,AR,401,9,23382,1714.99,38.49
05105,Perry County,AR,152,2,10455,1453.85,19.13
05107,Phillips County,AR,781,16,17782,4392.08,89.98
05109,Pike County,AR,276,1,10718,2575.11,9.33
05111,Poinsett County,AR,1203,23,23528,5113.06,97.76
05113,Polk County,AR,374,5,19964,1873.37,25.05
05115,Pope County,AR,2835,37,64072,4424.71,57.75
05117,Prairie County,AR,248,4,8062,3076.16,49.62
05119,Pulaski County,AR,12467,220,391911,3181.08,56.14
05121,Randolph County,AR,693,26,17958,3859.0,144.78
05123,St. Francis County,AR,1794,10,24994,7177.72,40.01
05125,Saline County,AR,3056,34,122437,2495.98,27.77
05127,Scott County,AR,233,2,10281,2266.32,19.45
05129,Searcy County,AR,212,1,7881,2690.01,12.69
05131,Sebastian County,AR,5104,99,127827,3992.9,77.45
05133,Sevier County,AR,1409,16,17007,8284.82,94.08
05135,Sharp County,AR,384,10,17442,2201.58,57.33
05137,Stone County,AR,409,21,12506,3270.43,167.92
